Cluster Composition,Cluster Ancestor,Representative sequence,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus pseudintermedius]",283734,176,176,100%,6e-54,96.67,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_390564355.1?report=genbank&log$=prottop&blast_rank=11&RID=UKXXJH06014"",""WP_390564355.1"")"
1 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1280,175,175,100%,6e-54,96.67,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275718361.1?report=genbank&log$=prottop&blast_rank=12&RID=UKXXJH06014"",""WP_275718361.1"")"
2 member(s) 1 organism(s),firmicutes,NTF2-like N-terminal transpeptidase domain-containing protein [Staphylococcus aureus],1280,176,176,100%,6e-54,96.67,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WRM68291.1?report=genbank&log$=prottop&blast_rank=13&RID=UKXXJH06014"",""WRM68291.1"")"
6 member(s) 2 organism(s),Staphylococcus group,"penicillin-binding protein 2a, partial [Staphylococcus aureus]",90964,172,172,100%,8e-54,96.67,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WMZ16922.1?report=genbank&log$=prottop&blast_rank=14&RID=UKXXJH06014"",""WMZ16922.1"")"
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,176,176,100%,1e-53,96.67,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDB5771882.1?report=genbank&log$=prottop&blast_rank=15&RID=UKXXJH06014"",""HDB5771882.1"")"
29 member(s) 7 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1279,176,176,100%,2e-53,96.67,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317579525.1?report=genbank&log$=prottop&blast_rank=16&RID=UKXXJH06014"",""WP_317579525.1"")"
2 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1280,176,176,100%,2e-53,96.67,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_457802062.1?report=genbank&log$=prottop&blast_rank=17&RID=UKXXJH06014"",""WP_457802062.1"")"
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,176,176,100%,2e-53,96.67,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDW7797571.1?report=genbank&log$=prottop&blast_rank=18&RID=UKXXJH06014"",""HDW7797571.1"")"
24 member(s) 2 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1280,176,176,100%,2e-53,96.67,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317450584.1?report=genbank&log$=prottop&blast_rank=19&RID=UKXXJH06014"",""WP_317450584.1"")"
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Staphylococcus aureus],1280,176,176,100%,2e-53,96.67,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDB6217765.1?report=genbank&log$=prottop&blast_rank=20&RID=UKXXJH06014"",""HDB6217765.1"")"
1 member(s) 1 organism(s),firmicutes,"penicillin-binding protein 2A, partial [Staphylococcus aureus]",1280,171,171,99%,2e-53,96.63,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARV86000.1?report=genbank&log$=prottop&blast_rank=21&RID=UKXXJH06014"",""ARV86000.1"")"
1 member(s) 1 organism(s),firmicutes,"penicillin binding protein A, partial [Staphylococcus aureus]",1280,171,171,99%,3e-53,96.63,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHB12869.1?report=genbank&log$=prottop&blast_rank=22&RID=UKXXJH06014"",""QHB12869.1"")"
2 member(s) 1 organism(s),firmicutes,"penicillin binding protein 2a, partial [Staphylococcus aureus]",1280,173,173,100%,3e-53,94.44,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BCG66260.1?report=genbank&log$=prottop&blast_rank=23&RID=UKXXJH06014"",""BCG66260.1"")"
1 member(s) 1 organism(s),firmicutes,"penicillin binding protein 2A, partial [Staphylococcus aureus]",1280,170,170,97%,4e-53,97.70,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AOY34736.1?report=genbank&log$=prottop&blast_rank=24&RID=UKXXJH06014"",""AOY34736.1"")"
45 member(s) 7 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1279,176,176,100%,5e-53,96.67,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317623524.1?report=genbank&log$=prottop&blast_rank=25&RID=UKXXJH06014"",""WP_317623524.1"")"
1 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus pseudintermedius]",283734,176,176,100%,5e-53,96.67,286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274540652.1?report=genbank&log$=prottop&blast_rank=26&RID=UKXXJH06014"",""WP_274540652.1"")"
1 member(s) 1 organism(s),firmicutes,NTF2-like N-terminal transpeptidase domain-containing protein [Mammaliicoccus fleurettii],150056,176,176,100%,5e-53,95.56,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDT3995721.1?report=genbank&log$=prottop&blast_rank=27&RID=UKXXJH06014"",""MDT3995721.1"")"
5 member(s) 2 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1279,176,176,100%,5e-53,96.67,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275887312.1?report=genbank&log$=prottop&blast_rank=28&RID=UKXXJH06014"",""WP_275887312.1"")"
1 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1280,172,172,100%,6e-53,95.56,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_353986336.1?report=genbank&log$=prottop&blast_rank=29&RID=UKXXJH06014"",""WP_353986336.1"")"
10 member(s) 4 organism(s),firmicutes,penicillin-binding protein 2A [Staphylococcus pseudintermedius],1279,177,177,100%,1e-52,96.67,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCG2253004.1?report=genbank&log$=prottop&blast_rank=30&RID=UKXXJH06014"",""HCG2253004.1"")"
48 member(s) 5 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1279,177,177,100%,2e-52,96.67,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317450492.1?report=genbank&log$=prottop&blast_rank=31&RID=UKXXJH06014"",""WP_317450492.1"")"
19 member(s) 2 organism(s),firmicutes,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase, partial [Staphylococcus aureus]",1279,177,177,100%,2e-52,96.67,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_113605489.1?report=genbank&log$=prottop&blast_rank=32&RID=UKXXJH06014"",""WP_113605489.1"")"
7 member(s) 1 organism(s),firmicutes,"penicillin-binding protein 2A, partial [Staphylococcus aureus]",1280,168,168,94%,2e-52,98.82,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARV85998.1?report=genbank&log$=prottop&blast_rank=33&RID=UKXXJH06014"",""ARV85998.1"")"
89 member(s) 8 organism(s),firmicutes,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase, partial [Staphylococcus aureus]",1239,177,177,100%,4e-52,96.67,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149890624.1?report=genbank&log$=prottop&blast_rank=34&RID=UKXXJH06014"",""WP_149890624.1"")"
1 member(s) 1 organism(s),firmicutes,"penicillin binding protein 2a, partial [Staphylococcus aureus]",1280,170,170,100%,4e-52,93.33,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BCG66261.1?report=genbank&log$=prottop&blast_rank=35&RID=UKXXJH06014"",""BCG66261.1"")"
19 member(s) 3 organism(s),firmicutes,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase, partial [Staphylococcus pseudintermedius]",1279,177,177,100%,9e-52,96.67,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161193426.1?report=genbank&log$=prottop&blast_rank=36&RID=UKXXJH06014"",""WP_161193426.1"")"
1 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus pseudintermedius]",283734,170,170,94%,2e-51,97.65,197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274541210.1?report=genbank&log$=prottop&blast_rank=37&RID=UKXXJH06014"",""WP_274541210.1"")"
2 member(s) 1 organism(s),firmicutes,"penicillin binding protein, partial [Staphylococcus aureus]",1280,175,175,100%,3e-51,95.56,410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEQ76893.1?report=genbank&log$=prottop&blast_rank=38&RID=UKXXJH06014"",""AEQ76893.1"")"
98 member(s) 8 organism(s),Staphylococcus group,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase, partial [Staphylococcus aureus]",90964,177,177,100%,4e-51,96.67,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095236778.1?report=genbank&log$=prottop&blast_rank=39&RID=UKXXJH06014"",""WP_095236778.1"")"
2 member(s) 1 organism(s),firmicutes,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase [Staphylococcus pseudintermedius],283734,177,177,100%,7e-51,96.67,522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDV6117587.1?report=genbank&log$=prottop&blast_rank=40&RID=UKXXJH06014"",""HDV6117587.1"")"
1 member(s) 1 organism(s),firmicutes,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase [Staphylococcus aureus],1280,177,177,100%,7e-51,96.67,530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD0858645.1?report=genbank&log$=prottop&blast_rank=41&RID=UKXXJH06014"",""MCD0858645.1"")"
1 member(s) 1 organism(s),firmicutes,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase [Staphylococcus aureus],1280,177,177,100%,7e-51,96.67,531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD0883850.1?report=genbank&log$=prottop&blast_rank=42&RID=UKXXJH06014"",""MCD0883850.1"")"
22 member(s) 1 organism(s),firmicutes,"NTF2-like N-terminal transpeptidase domain-containing protein, partial [Staphylococcus aureus]",1280,167,167,93%,8e-51,98.81,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275655856.1?report=genbank&log$=prottop&blast_rank=43&RID=UKXXJH06014"",""WP_275655856.1"")"
3 member(s) 1 organism(s),firmicutes,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase [Staphylococcus pseudintermedius],283734,174,174,97%,9e-51,97.70,414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCT0503609.1?report=genbank&log$=prottop&blast_rank=44&RID=UKXXJH06014"",""HCT0503609.1"")"
61 member(s) 6 organism(s),firmicutes,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase, partial [Staphylococcus aureus]",1279,177,177,100%,2e-50,96.67,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078092945.1?report=genbank&log$=prottop&blast_rank=45&RID=UKXXJH06014"",""WP_078092945.1"")"
6 member(s) 1 organism(s),firmicutes,"penicillin-binding protein 2a, partial [Staphylococcus aureus]",1280,163,163,92%,2e-50,97.59,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WMZ00180.1?report=genbank&log$=prottop&blast_rank=46&RID=UKXXJH06014"",""WMZ00180.1"")"
5 member(s) 2 organism(s),firmicutes,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA, partial [Staphylococcus aureus]",1279,177,177,100%,4e-50,96.67,659,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_445267769.1?report=genbank&log$=prottop&blast_rank=47&RID=UKXXJH06014"",""WP_445267769.1"")"
1 member(s) 1 organism(s),firmicutes,penicillin-binding protein 2' [Staphylococcus aureus],1280,179,179,100%,4e-50,96.67,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CCP89483.1?report=genbank&log$=prottop&blast_rank=48&RID=UKXXJH06014"",""CCP89483.1"")"
1436 member(s) 49 organism(s),firmicutes,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA [Staphylococcus aureus],1239,177,177,100%,4e-50,96.67,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078171795.1?report=genbank&log$=prottop&blast_rank=49&RID=UKXXJH06014"",""WP_078171795.1"")"
446 member(s) 26 organism(s),bacteria,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase [Staphylococcus aureus],2,177,177,100%,4e-50,96.67,646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_371902759.1?report=genbank&log$=prottop&blast_rank=50&RID=UKXXJH06014"",""WP_371902759.1"")"



		


