Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 19104 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177783.1?report=genbank&log$=nucltop&blast_rank=11&RID=UXBJAYZS014"",""CP177783.1"")"
"Yersinia pestis strain 80075 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,96008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177473.1?report=genbank&log$=nucltop&blast_rank=12&RID=UXBJAYZS014"",""CP177473.1"")"
"Yersinia pestis strain 41011 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,102195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177405.1?report=genbank&log$=nucltop&blast_rank=13&RID=UXBJAYZS014"",""CP177405.1"")"
"Yersinia pestis strain 100963 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177767.1?report=genbank&log$=nucltop&blast_rank=14&RID=UXBJAYZS014"",""CP177767.1"")"
"Yersinia pestis strain 55014 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177920.1?report=genbank&log$=nucltop&blast_rank=15&RID=UXBJAYZS014"",""CP177920.1"")"
"Yersinia pestis biovar Medievalis str. Harbin 35 plasmid pMT, complete sequence",Yersinia pestis biovar Medievalis str. Harbin 35,NA,547048,688,688,99%,0.0,99.21,99286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001610.1?report=genbank&log$=nucltop&blast_rank=16&RID=UXBJAYZS014"",""CP001610.1"")"
"Yersinia pestis strain CMCCK110001 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178019.1?report=genbank&log$=nucltop&blast_rank=17&RID=UXBJAYZS014"",""CP178019.1"")"
"Yersinia pestis strain 91032 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177387.1?report=genbank&log$=nucltop&blast_rank=18&RID=UXBJAYZS014"",""CP177387.1"")"
"Yersinia pestis strain 96005 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,102408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177936.1?report=genbank&log$=nucltop&blast_rank=19&RID=UXBJAYZS014"",""CP177936.1"")"
"Yersinia pestis strain CMCC92010 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178011.1?report=genbank&log$=nucltop&blast_rank=20&RID=UXBJAYZS014"",""CP178011.1"")"
"Yersinia pestis strain 60007 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177933.1?report=genbank&log$=nucltop&blast_rank=21&RID=UXBJAYZS014"",""CP177933.1"")"
"Yersinia pestis strain 71037 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178054.1?report=genbank&log$=nucltop&blast_rank=22&RID=UXBJAYZS014"",""CP178054.1"")"
"Yersinia pestis strain 44040 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177442.1?report=genbank&log$=nucltop&blast_rank=23&RID=UXBJAYZS014"",""CP177442.1"")"
"Yersinia pestis strain 372009 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177637.1?report=genbank&log$=nucltop&blast_rank=24&RID=UXBJAYZS014"",""CP177637.1"")"
"Yersinia pestis strain 195/P plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019709.1?report=genbank&log$=nucltop&blast_rank=25&RID=UXBJAYZS014"",""CP019709.1"")"
"Yersinia pestis strain J340003 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177630.1?report=genbank&log$=nucltop&blast_rank=26&RID=UXBJAYZS014"",""CP177630.1"")"
"Yersinia pestis Angola plasmid pMT, complete sequence",Yersinia pestis Angola,NA,349746,688,688,100%,0.0,98.96,95352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009934.1?report=genbank&log$=nucltop&blast_rank=27&RID=UXBJAYZS014"",""CP009934.1"")"
"Yersinia pestis strain 81005 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177737.1?report=genbank&log$=nucltop&blast_rank=28&RID=UXBJAYZS014"",""CP177737.1"")"
"Yersinia pestis strain O010017 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177696.1?report=genbank&log$=nucltop&blast_rank=29&RID=UXBJAYZS014"",""CP177696.1"")"
"Yersinia pestis strain 86010 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177715.1?report=genbank&log$=nucltop&blast_rank=30&RID=UXBJAYZS014"",""CP177715.1"")"
"Yersinia pestis strain 19039 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177789.1?report=genbank&log$=nucltop&blast_rank=31&RID=UXBJAYZS014"",""CP177789.1"")"
"Yersinia pestis KIM10+ plasmid pMT-1, complete sequence",Yersinia pestis KIM10+,NA,187410,688,688,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF074611.1?report=genbank&log$=nucltop&blast_rank=32&RID=UXBJAYZS014"",""AF074611.1"")"
"Yersinia pestis strain 9 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,107426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178034.1?report=genbank&log$=nucltop&blast_rank=33&RID=UXBJAYZS014"",""CP178034.1"")"
"Yersinia pestis strain 19042 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178048.1?report=genbank&log$=nucltop&blast_rank=34&RID=UXBJAYZS014"",""CP178048.1"")"
"Yersinia pestis strain 19098 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100647,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178044.1?report=genbank&log$=nucltop&blast_rank=35&RID=UXBJAYZS014"",""CP178044.1"")"
"Yersinia pestis strain J070005 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177797.1?report=genbank&log$=nucltop&blast_rank=36&RID=UXBJAYZS014"",""CP177797.1"")"
"Yersinia pestis strain 91_KR plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151605.1?report=genbank&log$=nucltop&blast_rank=37&RID=UXBJAYZS014"",""CP151605.1"")"
"Yersinia pestis 1412 plasmid pMT, complete sequence",Yersinia pestis 1412,NA,1345703,688,688,100%,0.0,98.96,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006779.1?report=genbank&log$=nucltop&blast_rank=38&RID=UXBJAYZS014"",""CP006779.1"")"
"Yersinia pestis strain 45120 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177429.1?report=genbank&log$=nucltop&blast_rank=39&RID=UXBJAYZS014"",""CP177429.1"")"
"Yersinia pestis strain J390001 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177775.1?report=genbank&log$=nucltop&blast_rank=40&RID=UXBJAYZS014"",""CP177775.1"")"
"Yersinia pestis strain 770432 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178077.1?report=genbank&log$=nucltop&blast_rank=41&RID=UXBJAYZS014"",""CP178077.1"")"
"Yersinia pestis 790 plasmid pMT, complete sequence",Yersinia pestis 790,NA,1345701,688,688,100%,0.0,98.96,142771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006807.1?report=genbank&log$=nucltop&blast_rank=42&RID=UXBJAYZS014"",""CP006807.1"")"
"Yersinia pestis strain 2 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100925,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178014.1?report=genbank&log$=nucltop&blast_rank=43&RID=UXBJAYZS014"",""CP178014.1"")"
"Yersinia pestis strain FDAARGOS_602 plasmid unnamed1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,106990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033694.1?report=genbank&log$=nucltop&blast_rank=44&RID=UXBJAYZS014"",""CP033694.1"")"
"Yersinia pestis strain 2330 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178038.1?report=genbank&log$=nucltop&blast_rank=45&RID=UXBJAYZS014"",""CP178038.1"")"
"Yersinia pestis strain 02023 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177545.1?report=genbank&log$=nucltop&blast_rank=46&RID=UXBJAYZS014"",""CP177545.1"")"
"Yersinia pestis strain Shasta plasmid pMT, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009722.1?report=genbank&log$=nucltop&blast_rank=47&RID=UXBJAYZS014"",""CP009722.1"")"
"Yersinia pestis strain 740371 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177489.1?report=genbank&log$=nucltop&blast_rank=48&RID=UXBJAYZS014"",""CP177489.1"")"
Yersinia pestis strain FDAARGOS_603 plasmid unnamed4,Yersinia pestis,NA,632,688,688,100%,0.0,98.96,113378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033693.1?report=genbank&log$=nucltop&blast_rank=49&RID=UXBJAYZS014"",""CP033693.1"")"
"Yersinia pestis EV76-CN plasmid unnamed, complete sequence",Yersinia pestis EV76-CN,NA,665028,688,688,100%,0.0,98.96,120847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096667.1?report=genbank&log$=nucltop&blast_rank=50&RID=UXBJAYZS014"",""CP096667.1"")"
"Yersinia pestis strain 13001 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,104458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177402.1?report=genbank&log$=nucltop&blast_rank=51&RID=UXBJAYZS014"",""CP177402.1"")"
"Yersinia pestis strain S19960127 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045637.1?report=genbank&log$=nucltop&blast_rank=52&RID=UXBJAYZS014"",""CP045637.1"")"
"Yersinia pestis 8787 plasmid pMT1, complete sequence",Yersinia pestis 8787,NA,1345708,688,688,99%,0.0,99.21,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006746.1?report=genbank&log$=nucltop&blast_rank=53&RID=UXBJAYZS014"",""CP006746.1"")"
"Yersinia pestis strain J260006 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177670.1?report=genbank&log$=nucltop&blast_rank=54&RID=UXBJAYZS014"",""CP177670.1"")"
"Yersinia pestis CO92 plasmid, complete sequence",Yersinia pestis CO92,NA,214092,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009971.1?report=genbank&log$=nucltop&blast_rank=55&RID=UXBJAYZS014"",""CP009971.1"")"
"Yersinia pestis strain 166 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196690.1?report=genbank&log$=nucltop&blast_rank=56&RID=UXBJAYZS014"",""CP196690.1"")"
"Yersinia pestis 3067 plasmid pMT1, complete sequence",Yersinia pestis 3067,NA,1345706,688,688,99%,0.0,99.21,137727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006752.1?report=genbank&log$=nucltop&blast_rank=57&RID=UXBJAYZS014"",""CP006752.1"")"
"Yersinia pestis strain 140068 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177803.1?report=genbank&log$=nucltop&blast_rank=58&RID=UXBJAYZS014"",""CP177803.1"")"
"Yersinia pestis A1122 plasmid, complete sequence",Yersinia pestis A1122,NA,1035377,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP002957.1?report=genbank&log$=nucltop&blast_rank=59&RID=UXBJAYZS014"",""CP002957.1"")"
"Yersinia pestis biovar Microtus str. 91001 plasmid pMT1, complete sequence",Yersinia pestis biovar Microtus str. 91001,NA,229193,688,688,99%,0.0,99.21,106642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AE017045.1?report=genbank&log$=nucltop&blast_rank=60&RID=UXBJAYZS014"",""AE017045.1"")"
"Yersinia pestis strain 43033 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177447.1?report=genbank&log$=nucltop&blast_rank=61&RID=UXBJAYZS014"",""CP177447.1"")"
"Yersinia pestis strain 93012 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177365.1?report=genbank&log$=nucltop&blast_rank=62&RID=UXBJAYZS014"",""CP177365.1"")"
"Yersinia pestis strain J180019 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100940,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177658.1?report=genbank&log$=nucltop&blast_rank=63&RID=UXBJAYZS014"",""CP177658.1"")"
"Yersinia pestis strain 19022 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178072.1?report=genbank&log$=nucltop&blast_rank=64&RID=UXBJAYZS014"",""CP178072.1"")"
"Yersinia pestis strain 7 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100647,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177475.1?report=genbank&log$=nucltop&blast_rank=65&RID=UXBJAYZS014"",""CP177475.1"")"
"Yersinia pestis strain 30026 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177642.1?report=genbank&log$=nucltop&blast_rank=66&RID=UXBJAYZS014"",""CP177642.1"")"
"Yersinia pestis strain SCPM-O-B-5942 (I-2638) plasmid pMT, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045259.1?report=genbank&log$=nucltop&blast_rank=67&RID=UXBJAYZS014"",""CP045259.1"")"
"Yersinia pestis strain 18012 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177583.1?report=genbank&log$=nucltop&blast_rank=68&RID=UXBJAYZS014"",""CP177583.1"")"
"Yersinia pestis strain CMCC114001 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178022.1?report=genbank&log$=nucltop&blast_rank=69&RID=UXBJAYZS014"",""CP178022.1"")"
"Yersinia pestis strain 80044 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177724.1?report=genbank&log$=nucltop&blast_rank=70&RID=UXBJAYZS014"",""CP177724.1"")"
"Yersinia pestis 1413 plasmid pMT, complete sequence",Yersinia pestis 1413,NA,1345704,688,688,99%,0.0,99.21,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006760.1?report=genbank&log$=nucltop&blast_rank=71&RID=UXBJAYZS014"",""CP006760.1"")"
"Yersinia pestis strain PBM19 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009490.1?report=genbank&log$=nucltop&blast_rank=72&RID=UXBJAYZS014"",""CP009490.1"")"
"Yersinia pestis strain 55003 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177612.1?report=genbank&log$=nucltop&blast_rank=73&RID=UXBJAYZS014"",""CP177612.1"")"
"Yersinia pestis strain 102001 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177601.1?report=genbank&log$=nucltop&blast_rank=74&RID=UXBJAYZS014"",""CP177601.1"")"
"Yersinia pestis strain 20 plasmid unnamed3, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,77493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084346.1?report=genbank&log$=nucltop&blast_rank=75&RID=UXBJAYZS014"",""CP084346.1"")"
"Yersinia pestis strain 91003 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177381.1?report=genbank&log$=nucltop&blast_rank=76&RID=UXBJAYZS014"",""CP177381.1"")"
"Yersinia pestis strain 50008 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177923.1?report=genbank&log$=nucltop&blast_rank=77&RID=UXBJAYZS014"",""CP177923.1"")"
"Yersinia pestis strain 41003 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177423.1?report=genbank&log$=nucltop&blast_rank=78&RID=UXBJAYZS014"",""CP177423.1"")"
"Yersinia pestis strain CMCC05009 plasmid pMT1-2, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,92907,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178031.1?report=genbank&log$=nucltop&blast_rank=79&RID=UXBJAYZS014"",""CP178031.1"")"
"Yersinia pestis Antiqua plasmid pMT, complete sequence",Yersinia pestis Antiqua,NA,360102,688,688,99%,0.0,99.21,96471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP000309.1?report=genbank&log$=nucltop&blast_rank=80&RID=UXBJAYZS014"",""CP000309.1"")"
"Yersinia pestis strain 80 plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151608.1?report=genbank&log$=nucltop&blast_rank=81&RID=UXBJAYZS014"",""CP151608.1"")"
"Yersinia pestis D106004 plasmid pMT1, complete sequence",Yersinia pestis D106004,NA,637382,688,688,99%,0.0,99.21,94249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001587.1?report=genbank&log$=nucltop&blast_rank=82&RID=UXBJAYZS014"",""CP001587.1"")"
"Yersinia pestis strain 160009 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177826.1?report=genbank&log$=nucltop&blast_rank=83&RID=UXBJAYZS014"",""CP177826.1"")"
"Yersinia pestis 1045 plasmid pMT, complete sequence",Yersinia pestis 1045,NA,1345710,688,688,100%,0.0,98.96,101706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006796.1?report=genbank&log$=nucltop&blast_rank=84&RID=UXBJAYZS014"",""CP006796.1"")"
"Yersinia pestis strain 2115 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196694.1?report=genbank&log$=nucltop&blast_rank=85&RID=UXBJAYZS014"",""CP196694.1"")"
"Yersinia pestis strain AKS2022HT87_B plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155629.1?report=genbank&log$=nucltop&blast_rank=86&RID=UXBJAYZS014"",""CP155629.1"")"
"Yersinia pestis strain 15020 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177484.1?report=genbank&log$=nucltop&blast_rank=87&RID=UXBJAYZS014"",""CP177484.1"")"
"Yersinia pestis strain N010084 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177567.1?report=genbank&log$=nucltop&blast_rank=88&RID=UXBJAYZS014"",""CP177567.1"")"
"Yersinia pestis strain 90028 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177846.1?report=genbank&log$=nucltop&blast_rank=89&RID=UXBJAYZS014"",""CP177846.1"")"
"Yersinia pestis strain 43005 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177427.1?report=genbank&log$=nucltop&blast_rank=90&RID=UXBJAYZS014"",""CP177427.1"")"
